asv_in_model	pbcorr	pval
NusbaumDJ_2018__Zotu1911	0.1215294	0.023569727
HurychJ_2023__Uniq115534	0.121428501	0.023686434
HurychJ_2023__Uniq148011	-0.121425933	0.023689411
HurychJ_2023__Uniq123010	-0.121403291	0.023715671
NusbaumDJ_2018__Zotu1883	0.121364594	0.023760611
KUMC_our_set__Zotu1045	0.121344568	0.023783897
KUMC_our_set__Zotu238	0.121322499	0.023809581
SchirmerM_2018__Zotu3796	-0.121177072	0.023979429
NusbaumDJ_2018__Zotu382	-0.121127026	0.02403812
NusbaumDJ_2018__Zotu1040	0.121097526	0.024072775
CortezRV_2021__Zotu1074	-0.121095435	0.024075233
KUMC_our_set__Zotu126	-0.121047736	0.024131362
SchirmerM_2018__Zotu3783	-0.120904829	0.024300203
KUMC_our_set__Zotu512	0.120888511	0.024319547
HurychJ_2023__Uniq124709	0.120866496	0.024345666
AlipourM_2016__Zotu1590	-0.120865849	0.024346434
IjazUZ_2017__Zotu1442	-0.120826586	0.024393077
CortezRV_2021__Zotu535	-0.120796687	0.024428646
HurychJ_2023__Uniq111201	0.120538463	0.024737719
HurychJ_2023__Uniq48602	0.120518384	0.024761892
KUMC_our_set__Zotu260	-0.120452656	0.024841167
KUMC_our_set__Zotu905	-0.12038161	0.024927101
HurychJ_2023__Uniq149103	0.120352649	0.024962204
HurychJ_2023__Uniq19183	0.120315331	0.025007499
SchirmerM_2018__Zotu3227	-0.120300481	0.025025543
NusbaumDJ_2018__Zotu1287	-0.120248613	0.025088657
SchirmerM_2018__Zotu3108	-0.120244543	0.025093614
KUMC_our_set__Zotu1425	0.120178682	0.025173965
IjazUZ_2017__Zotu1071	-0.120162781	0.025193399
NusbaumDJ_2018__Zotu1160	-0.120162781	0.025193399
AlipourM_2016__Zotu310	0.120085484	0.025288046
AlipourM_2016__Zotu1370	-0.120061847	0.02531705
NusbaumDJ_2018__Zotu1478	-0.119996234	0.025397712
IjazUZ_2017__Zotu952	-0.119850819	0.025577269
HurychJ_2023__Uniq74559	-0.119849446	0.02557897
AlipourM_2016__Zotu1555	-0.119814582	0.025622184
KUMC_our_set__Zotu391	0.119806732	0.025631922
SchirmerM_2018__Zotu1612	-0.119671167	0.025800609
SchirmerM_2018__Zotu461	-0.119592055	0.025899491
SchirmerM_2018__Zotu3441	-0.119403102	0.026136984
NusbaumDJ_2018__Zotu1909	0.119385508	0.026159193
SchirmerM_2018__Zotu2177	-0.119361797	0.02618915
HurychJ_2023__Uniq126358	-0.119308189	0.026256985
SchirmerM_2018__Zotu3886	-0.119285032	0.026286335
HurychJ_2023__Uniq114063	-0.119262494	0.026314927
HurychJ_2023__Uniq133877	0.11926156	0.026316114
IjazUZ_2017__Zotu889	-0.119123223	0.026492205
IjazUZ_2017__Zotu921	-0.119088376	0.026536722
SchirmerM_2018__Zotu3900	0.118980718	0.026674661
AlipourM_2016__Zotu696	-0.118961002	0.02669999
KUMC_our_set__Zotu834	-0.118940553	0.026726281
HurychJ_2023__Uniq121204	-0.118883385	0.026799902
SchirmerM_2018__Zotu4032	-0.118831629	0.026866703
HurychJ_2023__Uniq133260	-0.118814326	0.026889068
SchirmerM_2018__Zotu3305	-0.118738141	0.02698773
SchirmerM_2018__Zotu3217	-0.118698836	0.027038753
HurychJ_2023__Uniq103319	-0.118577461	0.027196838
AlipourM_2016__Zotu1548	-0.118532886	0.027255093
HurychJ_2023__Uniq74988	0.118529728	0.027259225
HurychJ_2023__Uniq104172	-0.118442486	0.027373568
HurychJ_2023__Uniq37518	0.118441188	0.027375272
HurychJ_2023__Uniq71653	-0.11834453	0.027502444
HurychJ_2023__Uniq57741	-0.118202985	0.027689587
AlipourM_2016__Zotu1209	-0.118171887	0.027730849
AlipourM_2016__Zotu1258	-0.118170068	0.027733264
HurychJ_2023__Uniq132112	-0.118122301	0.027796753
SchirmerM_2018__Zotu2947	-0.118108931	0.027814544
NusbaumDJ_2018__Zotu1612	0.118006506	0.027951174
NusbaumDJ_2018__Zotu1789	-0.117925495	0.028059645
SchirmerM_2018__Zotu2393	-0.117887936	0.028110058
KUMC_our_set__Zotu546	-0.117874144	0.02812859
CortezRV_2021__Zotu644	-0.117767113	0.028272759
IjazUZ_2017__Zotu1703	-0.117672778	0.028400351
NusbaumDJ_2018__Zotu1493	-0.117654997	0.028424456
CortezRV_2021__Zotu1428	0.11764702	0.028435277
SchirmerM_2018__Zotu1904	-0.117496984	0.02863944
HurychJ_2023__Uniq137346	-0.117426732	0.028735467
IjazUZ_2017__Zotu181	-0.11735746	0.028830425
HurychJ_2023__Uniq39950	-0.117287089	0.028927165
AlipourM_2016__Zotu742	-0.117277936	0.028939769
AlipourM_2016__Zotu1407	-0.117181153	0.029073322
CortezRV_2021__Zotu915	-0.117088697	0.029201397
IjazUZ_2017__Zotu1092	-0.117057941	0.029244108
HurychJ_2023__Uniq115842	-0.116883651	0.029487163
KUMC_our_set__Zotu543	-0.116870593	0.029505443
NusbaumDJ_2018__Zotu1017	-0.116855889	0.029526038
CortezRV_2021__Zotu436	-0.116731529	0.029700716
NusbaumDJ_2018__Zotu1100	-0.116721294	0.029715131
AlipourM_2016__Zotu1657	0.116661191	0.029799905
KUMC_our_set__Zotu837	0.116609686	0.029872715
CortezRV_2021__Zotu570	-0.116604066	0.029880669
